Pressure Vapor	Temperature	Volume Vapor	Enthalpy Vapor	Entropy Vapor
50.0000	-50.0000	0.4231	383.1000	1.8705
50.0000	-45.0000	0.4331	386.6000	1.8862
50.0000	-40.0000	0.4430	390.2000	1.9017
50.0000	-35.0000	0.4529	393.8000	1.9170
50.0000	-30.0000	0.4627	397.4000	1.9322
50.0000	-25.0000	0.4726	401.1000	1.9473
50.0000	-20.0000	0.4825	404.9000	1.9622
50.0000	-15.0000	0.4923	408.7000	1.9770
50.0000	-10.0000	0.5022	412.5000	1.9916
50.0000	-5.0000	0.5120	416.3000	2.0062
50.0000	0.0000	0.5218	420.2000	2.0206
50.0000	5.0000	0.5316	424.2000	2.0349
50.0000	10.0000	0.5414	428.2000	2.0491
50.0000	15.0000	0.5512	432.2000	2.0632
50.0000	20.0000	0.5610	436.3000	2.0772
50.0000	25.0000	0.5708	440.4000	2.0911
50.0000	30.0000	0.5806	444.5000	2.1049
50.0000	35.0000	0.5904	448.7000	2.1186
50.0000	40.0000	0.6002	452.9000	2.1322
50.0000	45.0000	0.6099	457.2000	2.1458
50.0000	50.0000	0.6197	461.5000	2.1592
50.0000	55.0000	0.6294	465.9000	2.1726
50.0000	60.0000	0.6392	470.3000	2.1859
50.0000	65.0000	0.6490	474.7000	2.1991
50.0000	70.0000	0.6587	479.2000	2.2122
50.0000	75.0000	0.6684	483.7000	2.2253
50.0000	80.0000	0.6782	488.2000	2.2382
50.0000	85.0000	0.6879	492.8000	2.2511
50.0000	90.0000	0.6977	497.5000	2.2640
50.0000	95.0000	0.7074	502.1000	2.2767
50.0000	100.0000	0.7171	506.8000	2.2894
50.0000	105.0000	0.6053	511.5000	2.2843
60.0000	-45.0000	0.3597	386.4000	1.8681
60.0000	-40.0000	0.3680	390.0000	1.8836
60.0000	-35.0000	0.3763	393.6000	1.8990
60.0000	-30.0000	0.3845	397.3000	1.9142
60.0000	-25.0000	0.3928	401.0000	1.9293
60.0000	-20.0000	0.4011	404.7000	1.9442
60.0000	-15.0000	0.4093	408.5000	1.9590
60.0000	-10.0000	0.4175	412.3000	1.9737
60.0000	-5.0000	0.4258	416.2000	1.9882
60.0000	0.0000	0.4340	420.1000	2.0027
60.0000	5.0000	0.4422	424.0000	2.0170
60.0000	10.0000	0.4504	428.0000	2.0312
60.0000	15.0000	0.4586	432.1000	2.0453
60.0000	20.0000	0.4668	436.1000	2.0593
60.0000	25.0000	0.4750	440.2000	2.0732
60.0000	30.0000	0.4831	444.4000	2.0871
60.0000	35.0000	0.4913	448.6000	2.1008
60.0000	40.0000	0.4995	452.8000	2.1144
60.0000	45.0000	0.5076	457.1000	2.1280
60.0000	50.0000	0.5158	461.4000	2.1414
60.0000	55.0000	0.5239	465.8000	2.1548
60.0000	60.0000	0.5321	470.2000	2.1681
60.0000	65.0000	0.5402	474.6000	2.1813
60.0000	70.0000	0.5484	479.1000	2.1944
60.0000	75.0000	0.5565	483.6000	2.2075
60.0000	80.0000	0.5646	488.1000	2.2205
60.0000	85.0000	0.5728	492.7000	2.2334
60.0000	90.0000	0.5809	497.4000	2.2462
60.0000	95.0000	0.5890	502.0000	2.2590
60.0000	100.0000	0.5971	506.7000	2.2717
60.0000	105.0000	0.5184	511.4000	2.2693
70.0000	-40.0000	0.3144	389.8000	1.8682
70.0000	-35.0000	0.3216	393.4000	1.8836
70.0000	-30.0000	0.3287	397.1000	1.8989
70.0000	-25.0000	0.3358	400.8000	1.9140
70.0000	-20.0000	0.3429	404.5000	1.9289
70.0000	-15.0000	0.3500	408.3000	1.9437
